Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,2,0.7000,1,1,2.3339,62,32
2,8,0.7000,0,1,6.8036,87962435,87962435
3,8,0.7000,1,0,3.0519,06589143,26589143
4,5,0.7000,0,0,4.5811,54127,54127
5,5,0.7000,1,0,4.6832,31548,30548
6,2,0.7000,0,0,1.5585,92,92
7,2,0.7000,1,1,1.1286,03,02
8,2,0.7000,1,1,2.3866,85,65
9,8,0.7000,0,0,5.5564,09825347,09825347
10,5,0.7000,1,1,8.7015,18754,18734
11,5,0.7000,1,0,1.4359,57396,57386
12,8,0.7000,1,0,2.4449,18675403,18675402
13,5,0.7000,1,1,2.0561,73942,63942
14,2,0.7000,1,1,1.2893,57,58
15,5,0.7000,1,1,2.1103,12708,12748
16,5,0.7000,1,1,1.4103,67932,61932
17,8,0.7000,1,1,1.3853,53248176,53240176
18,2,0.7000,1,1,1.2176,63,64
19,8,0.7000,1,1,1.1894,35976014,35976024
20,2,0.7000,1,1,1.4837,93,53
21,5,0.7000,1,1,1.2846,52749,52789
22,8,0.7000,1,1,1.2016,87630514,87690514
23,8,0.7000,1,1,1.4117,32904671,32904651
24,2,0.7000,0,0,1.0119,47,47
25,5,0.7000,0,1,2.0669,34520,34520
26,5,0.7000,0,1,1.1490,37864,37864
27,8,0.7000,1,1,1.7199,70932184,76932184
28,2,0.7000,0,0,1.0763,02,02
29,2,0.7000,1,1,0.8623,16,36
30,8,0.7000,1,1,0.9062,68235907,68231907
31,8,0.7000,1,1,1.7341,40752836,40752936
32,5,0.7000,1,1,0.8714,57420,57426
33,8,0.7000,1,1,1.3144,17463085,17463985
34,2,0.7000,1,1,0.6467,36,30
35,2,0.7000,0,0,0.8647,04,04
36,2,0.7000,1,1,0.5988,75,70
37,5,0.7000,1,1,1.1597,80136,40136
38,8,0.7000,1,1,0.8487,91378620,91378520
39,8,0.7000,1,0,1.2888,47625193,47685193
40,2,0.7000,1,1,0.8670,27,47
41,2,0.7000,1,1,0.8791,37,35
