Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,1.0000,0,0,9.0510,10-11-1-8-6,10-11-1-8-6
2,5,1.0000,1,1,1.1091,7-0-2-6-4,7-0-2-9-4
3,8,1.0000,0,1,0.6750,5-4-11-0-7-10-9-12,5-4-11-0-7-10-9-12
4,5,1.0000,0,0,0.6608,6-12-10-11-1,6-12-10-11-1
5,8,1.0000,0,1,1.0687,8-7-5-3-1-9-4-6,8-7-5-3-1-9-4-6
6,8,1.0000,1,1,0.8208,9-1-0-8-11-6-12-3,9-1-0-2-11-6-12-3
7,5,1.0000,1,1,1.3207,10-1-4-11-0,3-1-4-11-0
8,8,1.0000,0,0,0.7658,0-6-11-4-2-1-8-3,0-6-11-4-2-1-8-3
9,8,1.0000,0,1,0.6347,3-2-12-8-1-5-10-4,3-2-12-8-1-5-10-4
10,8,1.0000,0,0,0.6603,10-12-3-7-11-6-1-2,10-12-3-7-11-6-1-2
11,8,1.0000,0,0,0.4688,4-3-6-9-7-10-2-0,4-3-6-9-7-10-2-0
12,5,1.0000,1,0,0.5270,9-10-1-11-5,9-10-3-11-5
13,5,1.0000,1,0,0.3972,3-4-9-6-8,3-4-10-6-8
14,8,1.0000,0,0,0.5997,9-10-4-6-0-3-2-1,9-10-4-6-0-3-2-1
15,8,1.0000,1,1,0.6666,12-9-1-6-3-2-11-8,12-9-1-6-3-10-11-8
16,8,1.0000,1,0,0.4907,8-7-11-5-2-10-0-3,8-7-11-5-2-10-0-1
17,5,1.0000,0,0,0.7319,3-9-12-4-6,3-9-12-4-6
18,5,1.0000,1,1,0.5061,0-9-12-1-2,0-10-12-1-2
19,8,1.0000,0,0,0.8399,6-3-7-8-9-4-2-10,6-3-7-8-9-4-2-10
20,8,1.0000,0,0,0.4494,5-8-11-1-7-2-10-4,5-8-11-1-7-2-10-4
21,5,1.0000,0,0,0.4039,3-2-9-10-5,3-2-9-10-5
22,5,1.0000,0,0,0.3355,4-9-6-1-10,4-9-6-1-10
23,8,1.0000,1,0,0.7080,1-8-3-5-9-10-0-4,1-8-3-5-9-10-0-12
24,5,1.0000,1,0,0.5085,4-2-1-7-0,4-2-1-6-0
25,5,1.0000,0,0,0.3321,3-5-12-7-1,3-5-12-7-1
26,5,1.0000,1,0,0.3942,2-9-5-6-12,11-9-5-6-12
27,8,1.0000,0,0,0.3646,9-12-8-5-7-0-3-6,9-12-8-5-7-0-3-6
28,5,1.0000,0,0,0.3945,10-6-8-4-2,10-6-8-4-2
29,8,1.0000,1,0,0.3649,12-2-0-10-1-4-9-5,12-2-0-10-7-4-9-5
30,5,1.0000,1,1,1.3068,5-8-0-2-12,5-8-0-2-10
31,8,1.0000,1,1,0.8487,10-3-1-12-4-11-2-7,10-9-1-12-4-11-2-7
32,5,1.0000,0,0,0.2753,4-0-8-3-5,4-0-8-3-5
33,8,1.0000,1,0,0.3624,12-8-11-5-0-10-1-9,12-8-11-5-0-3-1-9
34,8,1.0000,0,1,0.7272,5-0-10-7-6-9-11-12,5-0-10-7-6-9-11-12
35,5,1.0000,0,0,0.5264,2-6-3-7-4,2-6-3-7-4
36,5,1.0000,1,0,0.3413,3-12-9-2-0,3-12-9-2-8
37,8,1.0000,1,1,1.0098,5-11-9-4-12-10-3-2,5-11-9-4-12-10-1-2
38,5,1.0000,0,0,0.7257,9-1-4-0-10,9-1-4-0-10
39,5,1.0000,0,0,0.8685,5-12-10-0-4,5-12-10-0-4
40,8,1.0000,1,1,0.7557,3-4-10-1-6-11-9-12,7-4-10-1-6-11-9-12
41,8,1.0000,0,1,0.7525,4-5-7-2-3-9-12-6,4-5-7-2-3-9-12-6
42,8,1.0000,1,0,0.5573,7-1-3-8-2-6-11-12,7-4-3-8-2-6-11-12
43,5,1.0000,1,1,0.8518,11-12-6-5-1,11-12-10-5-1
44,8,1.0000,0,0,0.4117,9-5-11-8-1-7-0-4,9-5-11-8-1-7-0-4
45,8,1.0000,0,0,0.6942,4-8-1-12-2-7-0-11,4-8-1-12-2-7-0-11
46,8,1.0000,0,0,0.6780,3-2-0-11-9-5-7-1,3-2-0-11-9-5-7-1
47,5,1.0000,1,0,0.5512,12-8-10-2-5,12-8-10-11-5
48,5,1.0000,0,0,0.7088,5-9-2-4-8,5-9-2-4-8
49,5,1.0000,1,0,0.4043,0-3-6-7-9,0-3-1-7-9
50,8,1.0000,0,0,0.6941,4-6-8-11-12-3-9-10,4-6-8-11-12-3-9-10
51,5,1.0000,1,1,0.7506,9-12-4-0-7,5-12-4-0-7
52,8,1.0000,1,0,0.6271,7-12-8-5-11-4-0-6,7-12-8-5-2-4-0-6
53,5,1.0000,1,1,1.0943,9-0-1-7-10,9-0-3-7-10
54,8,1.0000,1,0,1.1248,10-7-8-5-11-1-9-6,10-7-8-0-11-1-9-6
55,8,1.0000,0,0,0.5150,7-2-8-12-3-5-0-10,7-2-8-12-3-5-0-10
56,8,1.0000,1,0,0.3859,5-8-11-7-10-9-6-3,5-8-11-1-10-9-6-3
57,5,1.0000,1,1,0.8310,1-11-5-6-4,1-2-5-6-4
58,5,1.0000,0,1,0.6333,2-11-5-7-12,2-11-5-7-12
59,5,1.0000,0,0,0.2994,12-9-11-5-6,12-9-11-5-6
60,8,1.0000,1,1,0.3618,3-0-7-6-8-12-4-1,2-0-7-6-8-12-4-1
61,5,1.0000,0,0,0.3678,12-6-11-3-1,12-6-11-3-1
62,5,1.0000,1,1,0.4206,11-1-2-4-5,11-1-2-4-12
63,8,1.0000,1,1,0.5738,4-5-6-2-0-8-12-1,4-3-6-2-0-8-12-1
64,5,1.0000,0,1,0.5636,7-1-9-10-3,7-1-9-10-3
65,8,1.0000,1,1,0.6394,2-9-10-0-12-5-6-4,2-9-10-0-12-5-11-4
66,5,1.0000,1,0,0.6267,9-1-5-11-2,6-1-5-11-2
67,8,1.0000,1,1,0.7238,0-9-5-11-12-4-1-2,0-9-5-11-12-4-10-2
68,5,1.0000,0,0,0.5804,12-9-4-3-10,12-9-4-3-10
1,8,4.0000,1,0,2.2176,5-8-2-11-9-3-12-6,5-8-2-4-10-3-0-1
2,8,4.0000,1,1,0.7879,7-0-8-10-12-6-4-3,7-0-5-10-12-11-2-1
3,5,4.0000,0,0,0.7290,0-12-10-2-1,0-12-10-2-1
4,8,4.0000,0,0,0.8943,7-4-9-3-6-0-10-12,7-4-9-3-6-0-10-12
5,5,4.0000,1,0,0.6068,10-11-6-7-1,3-2-0-9-1
6,5,4.0000,0,0,0.4423,2-11-4-0-10,2-11-4-0-10
7,5,4.0000,0,1,0.7244,2-0-4-9-10,2-0-4-9-10
8,5,4.0000,0,1,1.6592,9-10-6-3-11,9-10-6-3-11
9,8,4.0000,0,0,0.6592,0-11-5-7-9-4-10-1,0-11-5-7-9-4-10-1
10,5,4.0000,1,1,1.1497,11-3-10-5-12,0-7-1-5-2
11,8,4.0000,0,0,0.7616,4-1-0-3-6-11-5-12,4-1-0-3-6-11-5-12
12,5,4.0000,1,0,0.6153,7-6-10-9-0,2-6-12-11-4
13,8,4.0000,0,1,1.2812,3-11-9-2-5-7-6-0,3-11-9-2-5-7-6-0
14,5,4.0000,0,0,0.8425,12-2-8-7-5,12-2-8-7-5
15,5,4.0000,1,1,0.8767,11-1-3-0-2,9-6-3-7-5
16,8,4.0000,1,0,1.0838,10-1-7-6-9-0-3-4,10-1-7-6-8-2-11-5
17,8,4.0000,0,0,0.5074,1-4-9-10-6-5-0-11,1-4-9-10-6-5-0-11
18,8,4.0000,0,0,0.7543,6-12-0-5-8-4-11-3,6-12-0-5-8-4-11-3
19,5,4.0000,0,0,0.5767,8-2-12-9-4,8-2-12-9-4
20,5,4.0000,0,1,2.2049,7-11-10-8-0,7-11-10-8-0
21,5,4.0000,1,1,0.7365,2-6-8-4-7,9-12-0-10-7
22,8,4.0000,1,0,0.6451,6-0-10-3-5-2-4-12,11-0-10-7-5-8-4-1
23,5,4.0000,0,0,0.6075,1-12-5-0-8,1-12-5-0-8
24,5,4.0000,0,0,0.8351,3-6-11-8-2,3-6-11-8-2
25,5,4.0000,0,0,0.9012,3-12-5-11-1,3-12-5-11-1
26,8,4.0000,0,0,1.9551,6-1-5-3-9-11-7-4,6-1-5-3-9-11-7-4
27,8,4.0000,0,0,0.6240,11-3-8-5-6-4-12-7,11-3-8-5-6-4-12-7
28,5,4.0000,0,0,1.0758,3-1-7-6-9,3-1-7-6-9
29,5,4.0000,1,1,0.7487,11-9-8-10-6,1-9-4-3-7
30,5,4.0000,1,1,0.8422,4-6-5-9-11,0-7-8-3-11
31,5,4.0000,0,0,0.6684,6-4-2-10-3,6-4-2-10-3
32,8,4.0000,1,1,0.7556,2-11-3-8-7-4-0-10,2-1-3-6-7-9-0-12
33,8,4.0000,0,1,1.0565,4-3-11-10-12-2-1-9,4-3-11-10-12-2-1-9
34,5,4.0000,0,1,1.5389,2-1-5-3-7,2-1-5-3-7
35,8,4.0000,1,0,0.4715,11-4-7-10-5-12-3-1,11-6-0-2-8-12-3-1
36,8,4.0000,0,0,0.5197,1-6-0-2-12-4-9-5,1-6-0-2-12-4-9-5
37,8,4.0000,0,1,1.3258,0-4-7-2-6-5-12-1,0-4-7-2-6-5-12-1
38,5,4.0000,1,1,1.0131,1-12-9-3-10,8-12-7-2-5
39,5,4.0000,1,1,0.5279,2-5-9-10-8,3-12-11-10-0
40,8,4.0000,0,0,0.9731,2-11-0-5-3-7-8-4,2-11-0-5-3-7-8-4
41,8,4.0000,1,1,0.5214,12-6-1-3-0-10-8-11,2-6-9-3-5-10-8-4
42,5,4.0000,1,1,0.6011,9-2-12-4-11,3-2-1-0-8
43,5,4.0000,1,1,0.7167,0-6-2-12-1,9-8-2-5-10
44,8,4.0000,1,0,0.9305,4-9-10-5-2-0-8-12,4-6-10-7-3-1-8-12
45,8,4.0000,1,0,0.9288,7-2-11-3-9-8-1-10,7-12-4-6-9-8-1-0
46,5,4.0000,0,0,0.8798,2-4-11-0-9,2-4-11-0-9
47,5,4.0000,0,0,0.7120,11-6-4-7-2,11-6-4-7-2
48,5,4.0000,1,1,0.9670,10-5-2-1-12,4-5-0-7-9
49,8,4.0000,1,0,0.8509,5-8-3-7-11-10-9-6,4-8-2-7-11-0-9-1
50,8,4.0000,1,0,0.7877,4-2-6-9-5-8-1-12,3-11-6-9-5-0-1-7
51,8,4.0000,1,1,0.6872,1-11-9-8-5-3-10-6,1-2-7-0-4-3-10-6
52,8,4.0000,1,0,0.8467,1-0-12-5-8-2-3-6,1-0-12-11-4-2-10-7
53,8,4.0000,0,0,0.7442,3-8-12-11-7-4-6-1,3-8-12-11-7-4-6-1
54,8,4.0000,1,1,0.6697,5-8-2-7-6-4-10-12,0-1-2-11-6-4-3-12
55,8,4.0000,1,0,0.7020,3-4-8-12-1-9-11-0,3-4-2-12-7-9-10-5
56,5,4.0000,1,0,0.5745,9-6-2-12-3,9-8-11-4-5
57,8,4.0000,0,0,0.6736,9-12-5-8-0-7-3-2,9-12-5-8-0-7-3-2
58,5,4.0000,0,0,0.7162,1-6-2-0-12,1-6-2-0-12
59,5,4.0000,1,1,0.7544,10-2-1-7-9,4-11-1-3-6
60,8,4.0000,1,1,1.2701,0-1-12-10-6-8-7-4,5-1-9-11-6-2-7-4
61,5,4.0000,0,0,0.7200,6-7-8-9-11,6-7-8-9-11
62,8,4.0000,0,0,1.3253,10-8-1-11-5-12-0-3,10-8-1-11-5-12-0-3
63,8,4.0000,0,0,0.6674,7-11-5-4-6-1-12-8,7-11-5-4-6-1-12-8
64,5,4.0000,1,1,0.6613,2-9-3-5-6,12-11-3-10-1
65,5,4.0000,1,1,1.5821,12-7-9-4-6,2-7-8-3-1
66,8,4.0000,1,0,0.6975,4-11-6-10-9-1-5-12,4-3-6-8-9-0-7-12
67,8,4.0000,0,0,0.7449,12-6-1-5-4-11-7-2,12-6-1-5-4-11-7-2
68,5,4.0000,1,1,0.6394,2-5-11-12-1,8-3-6-7-1
1,8,3.0000,1,0,0.8530,7-11-9-12-2-10-6-4,7-8-9-0-2-5-6-4
2,5,3.0000,0,0,0.5355,2-0-5-1-3,2-0-5-1-3
3,8,3.0000,0,1,0.7560,9-1-5-2-3-11-12-0,9-1-5-2-3-11-12-0
4,5,3.0000,1,1,0.5465,1-9-6-4-0,1-7-12-4-10
5,5,3.0000,1,1,0.5760,1-11-10-8-0,9-5-12-8-0
6,8,3.0000,1,1,1.1232,8-11-1-6-0-3-2-7,8-9-1-6-0-10-2-4
7,5,3.0000,1,1,0.5550,4-0-6-9-2,4-10-5-9-8
8,5,3.0000,0,0,0.6806,4-9-5-8-2,4-9-5-8-2
9,8,3.0000,1,1,0.7678,10-7-5-3-0-9-4-8,10-7-1-3-0-2-12-8
10,5,3.0000,0,1,1.0536,12-5-1-4-7,12-5-1-4-7
11,8,3.0000,0,0,0.6055,9-2-11-10-8-1-6-0,9-2-11-10-8-1-6-0
12,5,3.0000,0,0,0.7301,12-2-9-11-5,12-2-9-11-5
13,5,3.0000,0,0,0.4482,11-12-3-7-2,11-12-3-7-2
14,8,3.0000,1,0,1.2887,0-9-3-8-7-1-2-10,6-9-3-4-7-1-2-11
15,8,3.0000,0,0,0.4003,7-4-11-2-0-8-12-5,7-4-11-2-0-8-12-5
16,5,3.0000,1,1,0.5887,0-9-10-1-12,0-4-10-11-3
17,5,3.0000,1,0,0.7609,10-7-11-5-12,10-8-1-5-6
18,5,3.0000,0,0,0.7497,7-0-2-1-6,7-0-2-1-6
19,8,3.0000,1,0,0.9703,9-6-5-10-4-2-8-1,12-6-11-10-4-2-8-0
20,5,3.0000,1,1,0.5922,2-4-7-1-11,2-4-0-9-8
21,5,3.0000,0,0,1.0763,2-0-7-5-6,2-0-7-5-6
22,5,3.0000,0,0,0.4452,0-10-2-5-7,0-10-2-5-7
23,5,3.0000,1,0,0.5188,12-5-11-8-3,12-5-9-10-6
24,8,3.0000,0,0,0.4599,7-8-0-2-5-4-3-11,7-8-0-2-5-4-3-11
25,5,3.0000,1,1,0.6457,1-5-7-8-4,10-5-3-9-4
26,8,3.0000,0,0,0.7023,7-2-8-5-4-6-0-3,7-2-8-5-4-6-0-3
27,8,3.0000,0,0,0.4451,12-1-2-6-10-7-4-9,12-1-2-6-10-7-4-9
28,8,3.0000,1,0,0.5986,1-4-7-2-6-10-9-11,1-4-12-2-5-3-9-11
29,8,3.0000,0,0,0.5862,8-3-9-0-5-7-4-10,8-3-9-0-5-7-4-10
30,8,3.0000,0,0,0.6856,10-4-5-3-6-12-1-7,10-4-5-3-6-12-1-7
31,5,3.0000,1,1,0.6468,11-2-0-12-3,6-1-5-12-3
32,8,3.0000,1,0,0.4314,3-2-6-8-10-1-4-9,7-5-6-8-0-1-4-9
33,8,3.0000,0,0,0.5055,4-11-0-9-2-6-8-7,4-11-0-9-2-6-8-7
34,5,3.0000,1,1,0.8098,11-0-1-6-3,11-2-1-10-7
35,5,3.0000,1,1,0.7234,0-3-7-4-2,9-3-10-5-2
36,8,3.0000,0,0,0.8167,6-2-9-3-7-1-11-0,6-2-9-3-7-1-11-0
37,5,3.0000,1,1,0.5165,7-6-9-11-12,7-3-9-1-0
38,5,3.0000,1,1,0.6194,9-0-3-12-7,6-0-11-10-7
39,5,3.0000,1,1,0.5742,0-1-8-7-12,0-3-9-7-10
40,8,3.0000,1,1,1.7214,8-7-3-11-2-12-4-1,6-5-3-0-2-12-4-1
41,5,3.0000,0,0,0.7133,1-0-9-8-10,1-0-9-8-10
42,5,3.0000,0,0,0.5602,0-7-6-11-4,0-7-6-11-4
43,5,3.0000,0,0,0.5256,0-9-8-1-7,0-9-8-1-7
44,5,3.0000,0,0,0.6445,11-3-10-8-1,11-3-10-8-1
45,8,3.0000,1,1,0.6050,0-6-7-10-2-1-8-3,0-9-7-10-2-5-12-3
46,8,3.0000,1,0,0.3919,11-0-3-1-8-9-5-12,11-0-3-7-10-9-4-12
47,5,3.0000,0,0,0.4930,10-7-5-8-0,10-7-5-8-0
48,8,3.0000,1,0,0.4515,11-7-3-2-12-0-5-1,11-7-3-10-12-6-5-9
49,8,3.0000,1,1,0.7003,1-9-2-3-5-0-7-8,1-9-2-6-5-4-10-8
50,5,3.0000,0,0,0.4608,9-6-4-3-10,9-6-4-3-10
51,8,3.0000,0,0,0.5248,11-1-10-7-6-12-3-2,11-1-10-7-6-12-3-2
52,8,3.0000,1,1,0.8507,4-11-10-3-8-0-7-6,5-11-1-3-8-0-2-6
53,5,3.0000,1,1,0.5974,7-1-11-8-9,12-6-0-8-9
54,8,3.0000,0,0,0.5199,4-6-3-0-5-12-1-2,4-6-3-0-5-12-1-2
55,8,3.0000,0,0,0.6141,12-6-10-3-11-1-7-0,12-6-10-3-11-1-7-0
56,5,3.0000,1,1,0.7060,12-4-1-6-10,3-4-1-7-9
57,5,3.0000,0,0,0.6975,6-9-3-0-8,6-9-3-0-8
58,8,3.0000,1,0,1.0400,12-11-4-7-9-0-5-8,12-3-6-7-1-0-5-8
59,8,3.0000,1,0,0.5455,12-2-0-3-6-11-5-7,8-2-10-3-1-11-5-7
60,8,3.0000,0,0,0.4710,2-8-7-6-9-5-0-3,2-8-7-6-9-5-0-3
61,5,3.0000,1,1,0.6008,10-2-11-6-9,1-12-11-6-5
62,8,3.0000,0,0,0.4988,0-4-1-11-12-7-9-3,0-4-1-11-12-7-9-3
63,8,3.0000,0,0,0.5222,5-4-2-8-12-6-9-10,5-4-2-8-12-6-9-10
64,5,3.0000,0,0,0.4977,7-12-10-11-5,7-12-10-11-5
65,8,3.0000,1,1,0.5926,12-4-5-6-7-11-8-0,12-4-5-6-7-3-2-1
66,8,3.0000,1,1,0.4840,10-9-3-2-5-0-4-6,10-1-3-2-12-0-7-6
