Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,0.5000,0,1,9.2850,24608,0
2,8,0.5000,1,0,7.0136,01835269,4
3,8,0.5000,0,1,2.2401,87069451,1
4,5,0.5000,0,0,2.1704,92604,9
5,5,0.5000,1,1,3.7193,92813,6
6,8,0.5000,1,1,2.4216,10825947,3
7,8,0.5000,1,0,2.3119,46190287,3
8,2,0.5000,0,0,2.7195,78,7
9,2,0.5000,0,0,3.5504,21,1
10,2,0.5000,0,0,1.9168,19,9
11,2,0.5000,1,1,1.7162,98,7
12,5,0.5000,1,1,1.8112,15472,0
13,8,0.5000,0,0,2.3900,81034725,3
14,8,0.5000,0,0,2.1297,19457826,6
15,5,0.5000,1,1,1.5680,06549,8
16,5,0.5000,0,0,2.2448,25860,6
17,5,0.5000,0,0,1.4304,41065,6
18,5,0.5000,1,1,1.7927,27348,6
19,5,0.5000,1,1,2.1488,14058,6
20,2,0.5000,1,1,2.1872,59,1
21,8,0.5000,1,1,2.0627,39206715,8
22,5,0.5000,0,0,2.1757,70956,7
23,2,0.5000,0,0,1.8526,36,6
24,2,0.5000,0,0,3.5101,59,5
25,2,0.5000,0,0,1.1578,63,6
26,2,0.5000,1,1,1.6594,92,8
27,2,0.5000,1,1,1.9568,62,7
28,8,0.5000,1,1,1.7058,85741962,0
29,8,0.5000,1,1,3.3447,36728095,1
30,8,0.5000,1,1,4.2703,75389024,1
31,8,0.5000,0,1,2.1506,83026715,6
32,5,0.5000,0,0,1.4283,83941,4
33,8,0.5000,0,1,1.8544,07398152,0
34,2,0.5000,1,1,1.3360,79,6
35,5,0.5000,1,1,1.8783,80315,2
36,8,0.5000,1,1,1.5185,35467218,0
37,5,0.5000,0,1,2.4854,75092,7
38,2,0.5000,1,1,1.5663,14,9
39,2,0.5000,0,0,1.0199,82,8
40,2,0.5000,0,1,2.4226,74,4
41,5,0.5000,0,0,1.6816,03718,8
42,8,0.5000,0,1,3.1939,96324750,5
43,8,0.5000,1,0,3.1735,25347186,9
44,8,0.5000,0,1,3.3938,02467983,6
45,5,0.5000,0,1,2.3814,73508,3
46,2,0.5000,0,0,1.1624,83,8
47,2,0.5000,1,1,1.6239,64,1
48,5,0.5000,1,1,2.3628,85247,0
49,2,0.5000,1,1,1.4964,31,9
