Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,2,0.5000,0,0,4.6819,81,8
2,2,0.5000,1,1,2.3882,61,5
3,5,0.5000,1,0,10.4822,62704,1
4,8,0.5000,0,1,1.1226,78241630,8
5,8,0.5000,0,1,5.2510,45761893,6
6,8,0.5000,1,1,3.7408,13804967,2
7,8,0.5000,0,1,1.0372,75163284,3
8,8,0.5000,1,1,2.1231,89163075,2
9,2,0.5000,0,0,1.0759,78,7
10,5,0.5000,0,0,2.0823,40296,9
11,5,0.5000,0,0,1.0027,91036,1
12,8,0.5000,0,0,0.6319,85947210,0
13,8,0.5000,1,1,0.6654,50489712,6
14,5,0.5000,1,1,2.2055,51864,9
15,5,0.5000,0,0,0.6331,68529,2
16,5,0.5000,0,0,0.4442,35198,5
17,8,0.5000,1,1,0.9231,81902637,4
18,5,0.5000,0,0,0.6778,61058,5
19,2,0.5000,0,0,0.6634,52,2
20,2,0.5000,1,1,0.6989,71,3
21,5,0.5000,0,0,0.5918,23785,5
22,8,0.5000,0,0,0.8186,21384709,1
23,5,0.5000,1,1,1.4655,45380,9
24,5,0.5000,1,0,1.9390,46139,7
25,2,0.5000,0,0,0.7266,83,3
26,2,0.5000,0,0,0.6180,59,9
27,8,0.5000,0,1,0.9894,65031928,2
28,5,0.5000,1,1,0.7778,37940,5
29,2,0.5000,1,1,3.9362,61,7
30,8,0.5000,1,1,0.6966,91250347,6
31,2,0.5000,1,1,0.8128,74,1
32,5,0.5000,1,1,1.9075,71492,0
33,2,0.5000,1,1,0.7747,76,1
34,2,0.5000,1,1,0.7331,67,3
35,2,0.5000,1,1,0.7690,16,4
36,5,0.5000,0,1,0.9366,56794,4
37,8,0.5000,0,1,0.7405,15408376,0
38,2,0.5000,0,0,0.8581,35,3
39,8,0.5000,1,1,1.2669,73129684,0
40,5,0.5000,1,0,4.2625,78569,1
41,2,0.5000,0,0,0.5181,54,4
42,2,0.5000,0,0,0.4696,32,3
43,2,0.5000,1,1,0.8200,50,1
44,2,0.5000,1,1,1.6277,70,3
45,5,0.5000,0,1,0.7901,32475,2
46,2,0.5000,0,0,0.7009,30,0
47,8,0.5000,1,1,0.6903,39582046,7
48,5,0.5000,0,0,0.5992,06572,0
49,8,0.5000,1,1,1.6580,93714205,6
50,5,0.5000,0,0,0.7756,41265,6
51,8,0.5000,0,0,0.6866,38570264,6
52,8,0.5000,0,1,0.6260,07465832,3
53,2,0.5000,0,0,0.8201,26,6
54,8,0.5000,0,1,0.6208,71204563,4
55,5,0.5000,1,1,0.8956,58419,3
56,5,0.5000,1,1,0.6012,73601,5
57,8,0.5000,1,1,0.5724,51320947,8
58,5,0.5000,1,1,0.5726,27694,1
59,2,0.5000,1,1,0.9060,56,9
60,8,0.5000,1,1,1.2686,05629873,1
1,2,0.7000,1,1,0.6483,89,1
2,2,0.7000,0,0,0.5555,75,5
3,8,0.7000,0,1,0.3951,54632819,2
4,8,0.7000,1,1,0.7445,94368015,7
5,8,0.7000,1,1,0.4150,15236709,8
6,5,0.7000,0,1,0.3805,53490,5
7,2,0.7000,0,0,1.2082,78,8
8,8,0.7000,1,1,0.5070,20954671,3
9,5,0.7000,1,1,0.3950,58143,7
10,5,0.7000,1,1,0.5023,40178,9
11,5,0.7000,1,1,0.3902,37184,6
12,8,0.7000,1,1,0.4998,59278640,1
13,2,0.7000,1,1,0.4990,86,0
14,8,0.7000,1,1,0.5302,87235061,9
15,2,0.7000,1,1,0.3714,13,5
16,8,0.7000,1,1,0.4322,53942860,1
17,5,0.7000,0,0,0.5732,23560,3
18,2,0.7000,1,1,0.4306,49,2
19,2,0.7000,1,1,0.4439,31,6
20,5,0.7000,1,1,0.3463,04359,2
21,5,0.7000,1,1,0.6943,80147,5
22,8,0.7000,1,1,0.3466,48059763,2
23,2,0.7000,1,1,0.5985,62,5
24,8,0.7000,0,0,0.6175,62704531,0
25,8,0.7000,1,1,0.5397,09853742,6
26,5,0.7000,0,0,1.0205,89601,0
27,5,0.7000,1,1,0.4096,86753,2
28,2,0.7000,1,1,0.5184,43,1
29,8,0.7000,0,1,0.4071,21579083,3
30,8,0.7000,1,1,0.7731,21543806,7
31,8,0.7000,1,0,0.9243,10348569,7
32,5,0.7000,1,1,0.5973,65970,1
33,5,0.7000,0,1,0.6152,83952,3
34,2,0.7000,1,1,0.3781,79,6
35,2,0.7000,1,1,0.3089,83,0
36,5,0.7000,1,1,0.5608,10258,7
37,5,0.7000,0,1,0.3859,24785,4
38,2,0.7000,0,0,0.7663,80,0
39,8,0.7000,1,1,0.3555,80341957,6
40,8,0.7000,1,1,0.6080,38205619,7
41,2,0.7000,1,1,0.7217,27,1
42,8,0.7000,0,1,1.1759,13249768,6
43,8,0.7000,1,1,0.7936,10734562,8
44,5,0.7000,1,1,2.6241,41075,6
45,5,0.7000,1,1,0.5351,59620,7
46,2,0.7000,1,1,0.4532,25,6
47,5,0.7000,1,1,2.2916,64250,7
48,2,0.7000,1,1,0.3517,42,1
49,2,0.7000,1,1,0.4124,23,5
50,8,0.7000,1,0,0.9064,86915374,2
51,2,0.7000,1,1,1.0278,14,6
52,2,0.7000,0,0,0.4007,13,1
53,8,0.7000,0,1,0.4602,62794185,2
54,5,0.7000,0,1,0.5871,43029,4
55,8,0.7000,0,1,0.4455,94163587,6
56,5,0.7000,1,1,0.3959,56738,9
57,2,0.7000,0,0,0.3763,45,5
58,5,0.7000,1,0,0.4037,75806,4
59,5,0.7000,1,1,0.4342,78349,1
60,2,0.7000,0,0,0.8458,48,4
1,5,0.3000,1,1,0.7049,58609,4
2,5,0.3000,1,1,0.6622,90287,5
3,8,0.3000,0,0,0.7781,12308765,7
4,8,0.3000,0,0,0.6421,30827496,9
5,2,0.3000,0,0,0.5809,58,5
6,2,0.3000,0,0,0.4212,30,0
7,2,0.3000,0,0,0.4344,82,8
8,5,0.3000,0,0,1.1364,05814,1
9,8,0.3000,1,0,0.6092,34658092,1
10,5,0.3000,0,1,0.8356,16743,7
11,2,0.3000,1,1,0.5556,08,4
12,8,0.3000,1,1,1.0690,51768024,9
13,8,0.3000,1,1,0.8909,69807241,5
14,5,0.3000,0,1,0.8529,32409,3
15,8,0.3000,0,0,0.4603,17598026,1
16,5,0.3000,0,0,0.7489,46702,0
17,5,0.3000,0,1,1.2814,20598,2
18,8,0.3000,1,1,1.0953,29463081,5
19,2,0.3000,1,1,0.5496,70,2
20,8,0.3000,0,1,0.5168,64173589,7
21,5,0.3000,1,1,0.7255,02573,8
22,2,0.3000,0,0,0.6669,18,1
23,5,0.3000,0,0,0.4310,65047,0
