Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,2,0.3000,1,1,3.9246,84,0
2,2,0.3000,0,0,2.6003,30,3
3,2,0.3000,0,0,2.1415,25,2
4,8,0.3000,1,1,5.6560,67419305,8
5,5,0.3000,1,1,3.5319,23890,7
6,5,0.3000,0,0,2.2001,76385,5
7,5,0.3000,1,1,2.4997,62514,0
8,5,0.3000,0,0,2.1349,98372,8
9,2,0.3000,0,0,1.3762,08,8
10,8,0.3000,0,1,2.6789,45261807,7
11,5,0.3000,0,0,1.7386,02175,0
12,8,0.3000,0,1,2.2506,45810367,3
13,5,0.3000,0,0,1.3837,23549,3
14,8,0.3000,1,0,2.3507,72063418,5
15,2,0.3000,0,0,1.5338,72,2
16,2,0.3000,0,0,1.4472,21,1
17,2,0.3000,0,0,1.2760,67,6
18,5,0.3000,0,1,2.1925,05487,8
19,8,0.3000,0,0,2.6683,73018956,3
20,5,0.3000,1,1,3.3311,17352,9
21,8,0.3000,0,0,1.2762,20385169,2
22,2,0.3000,1,1,2.0130,53,1
23,5,0.3000,0,0,2.5637,43657,6
24,5,0.3000,0,0,1.6886,54796,9
25,8,0.3000,0,0,1.6072,87649321,3
26,8,0.3000,0,0,1.6289,81250697,2
27,2,0.3000,0,0,1.2569,03,3
28,5,0.3000,1,1,1.3551,92381,0
29,8,0.3000,0,0,1.2813,02813975,5
30,2,0.3000,0,0,1.1087,23,2
31,8,0.3000,1,0,1.4607,93428610,7
32,5,0.3000,0,0,1.6451,18630,1
33,2,0.3000,0,0,1.3368,18,8
34,2,0.3000,1,1,1.7737,01,4
35,2,0.3000,0,0,1.6137,34,3
36,2,0.3000,0,0,2.1693,35,5
37,2,0.3000,1,1,1.5232,76,0
38,8,0.3000,1,1,1.2936,78431906,2
39,5,0.3000,0,1,1.1536,29813,1
40,8,0.3000,1,0,2.6728,74986532,1
41,8,0.3000,0,0,1.5128,47839605,4
42,2,0.3000,1,1,1.6820,97,8
43,5,0.3000,0,0,1.3280,07891,8
44,8,0.3000,0,0,1.4135,71453680,6
45,8,0.3000,0,0,1.6770,07231459,9
46,8,0.3000,0,1,1.3696,79126485,9
47,5,0.3000,0,1,2.2236,43285,3
48,8,0.3000,0,0,1.5957,05642839,4
49,8,0.3000,0,0,1.4484,84607325,6
50,5,0.3000,1,1,1.1190,54897,6
51,5,0.3000,1,1,1.0881,50436,2
52,2,0.3000,0,0,1.2913,84,4
53,2,0.3000,0,0,1.6150,35,5
54,5,0.3000,0,0,1.2270,76403,3
55,5,0.3000,0,0,1.3257,09763,0
56,8,0.3000,1,0,1.8113,28619734,0
57,2,0.3000,0,0,1.6841,16,1
58,2,0.3000,1,1,1.0556,28,9
59,8,0.3000,0,0,1.2141,08465239,8
60,5,0.3000,0,0,1.1353,98514,4
1,8,0.7000,0,0,1.7100,47189206,6
2,8,0.7000,1,1,1.2753,23478516,0
3,5,0.7000,1,0,1.4388,40689,7
4,2,0.7000,1,1,0.9500,25,1
5,8,0.7000,0,1,1.3619,73418629,8
6,8,0.7000,1,1,3.6723,06983174,2
7,5,0.7000,0,0,1.1134,24803,0
8,2,0.7000,1,1,0.8557,69,4
9,5,0.7000,1,0,1.9366,31586,7
10,2,0.7000,1,1,1.3806,45,8
11,2,0.7000,0,0,1.3376,37,7
12,5,0.7000,1,1,1.1038,36942,1
13,8,0.7000,1,1,1.1672,69725810,4
14,8,0.7000,1,1,1.0879,89064532,1
15,8,0.7000,1,1,1.1351,31602458,9
16,8,0.7000,1,1,1.0395,52763849,1
17,5,0.7000,1,1,1.1011,40976,5
18,5,0.7000,0,0,1.1483,32195,9
19,8,0.7000,0,1,1.1486,97120483,2
20,2,0.7000,1,1,1.1650,20,7
21,2,0.7000,1,1,1.0515,79,2
22,2,0.7000,0,0,1.0964,29,2
23,2,0.7000,0,0,1.1591,97,7
24,8,0.7000,1,1,1.3523,37514968,2
25,2,0.7000,0,0,1.4694,95,9
26,2,0.7000,0,0,1.2854,64,6
27,5,0.7000,1,1,1.5420,72698,3
28,2,0.7000,1,1,1.5840,72,5
29,8,0.7000,1,1,1.4359,86310294,5
30,5,0.7000,0,0,1.4436,49107,1
31,2,0.7000,1,1,1.4992,70,5
32,5,0.7000,1,0,1.7803,38065,7
33,5,0.7000,1,0,1.5392,06438,9
34,2,0.7000,1,1,1.0372,53,1
35,8,0.7000,0,0,1.2271,39680214,1
36,5,0.7000,1,0,1.1976,54163,9
37,2,0.7000,1,1,1.1188,43,7
38,2,0.7000,1,1,1.0699,90,3
39,5,0.7000,1,0,1.1639,14532,0
40,5,0.7000,1,1,1.2751,87562,1
41,5,0.7000,0,1,5.8386,27836,6
42,2,0.7000,1,1,2.3447,73,1
43,2,0.7000,0,0,1.6072,26,6
44,5,0.7000,1,1,2.2434,53284,9
